id,tendoituong,loaihinh,tenhieutruong,diachi,poiLong,poiLat,sdt,email,website,anh,geometry
896,Trường TH Hồng Tiến,Tiểu học,Trần Quốc Tiến,"Hồng Tiến, Hương Trà, Thừa Thiên Huế, Việt Nam",107.4452971,16.3475467,01242561978,thhtra.htien@hue.edu.vn,http://th-htien.huongtra.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/hong_tien.jpg,POINT (107.4452971 16.3475467)
898,Trường TH Lai Thành,Tiểu học,Phan Văn Đường,"Hương Vân, Hương Trà, Thừa Thiên Huế, Việt Nam",107.4448162,16.531012,02343557619,thhtra.lthanh@hue.edu.vn,th-lthanh.huongtra.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/lai_thanh.jpg,POINT (107.4448162 16.531012)
899,Trường TH số 1 Hương Toàn,Tiểu học,Trần Ngọc Anh,"Xã Hương Toàn, Thị Xã Hương Trà, Tỉnh Thừa Thiên Huế",107.3000766,16.5224366,02343557646,thhtra.huongtoan@hue.edu.vn,http://th-htoan1.huongtra.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/huong_toan_1.jpg,POINT (107.3000766 16.5224366)
901,Trường TH số 1 Hương Văn,Tiểu học,Hoàng Thị Tuyết Nhi,"Đường tránh Huế, Hương Văn, Hương Trà, Thừa Thiên Huế, Việt Nam",107.4809335,16.5181223,02343557560,hoangthituyetnhi68@gmail.com,http://th-hvan1.huongtra.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/huong_van_1.jpg,POINT (107.4809335 16.5181223)
914,Trường TH Vĩnh Dương,Tiểu học,Đặng Thắng,"""Hải Dương, Thị xã Hương Trà """,107.5968415,16.5802163,0908285239,thhtra.vduong@hue.edu.vn,,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/09/vinh_duong.jpg,POINT (107.5968415 16.5802163)
194,Trường THCS Hồ Văn Tứ,Trường THCS,Trần Lưu Quang,Phường Hương Văn Thị xã Hương Trà,107.490982,16.51660092,02343557318,thcshtra.hvtu@hue.edu.vn,http://thcs-hvan.huongtra.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/ho_van_tu.jpg,POINT (107.490982 16.51660092)
195,Trường THCS Nguyễn Khánh Toàn,Trường THCS,Nguyễn Phú Bình,Phường Hương Xuân Thị xã Hương Trà,107.5085,16.50699992,0982745983,thcshtra.nktoan@hue.edu.vn,thcs-nktoan.huongtra.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/nguyen_khanh_toan(1).png,POINT (107.5085 16.50699992)
196,Trường THCS thị trấn Phú Bài,Trường THCS,DƯƠNG QUANG KHÁNH,": 69 Sóng Hồng, Phường Phú Bài, Thị xã Hương Thuỷ, Tỉnh Thừa Thiên - Huế.",107.681836,16.40783092,02343863126,thcs-ttpbai.huongthuy@thuathienhue.edu.vn,thcs-ttpbai.huongthuy.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/cs_phu_bai.jpg,POINT (107.681836 16.40783092)
197,Trường THCS Thủy Bằng,Trường THCS,Nguyễn Ngọc Hồng,"Thuỷ Bằng, Thị xã Hương Thuỷ, Tỉnh Thừa Thiên - Huế.",107.578494,16.39488792,02343954839,thcshthuy.tb@hue.edu.vn,thcs-tbang.huongthuy.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/thuy_bang.jpg,POINT (107.578494 16.39488792)
198,Trường THCS Thủy Châu,Trường THCS,Phan Thành Nhơn,"60, Võ Trác, P. Thủy Châu, Thị xã Hương Thủy, T. Thừa Thiên Huế;",107.671781,16.41993992,0543861292,thcs-tchau.huongthuy@thuathienhue.edu.vn,thcs-tchau.huongthuy.thuathienhue.edu.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/thuy_chau.png,POINT (107.671781 16.41993992)
199,Trường THCS Thủy Dương,Trường THCS,Bùi Tứ,"2 An Thường Công Chúa, Thủy Dương, Hương Thủy, Thừa Thiên Huế",107.624614,16.44070792,02343854587,thcs-tduong,thcs-thuyduong-thuathienhue.vn,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/cs_thuy_duong.jpg,POINT (107.624614 16.44070792)
