id,tendoituong,loaihinh,tenhieutruong,diachi,poiLong,poiLat,sdt,email,website,anh,geometry
169,Trường THPT Nguyễn Sinh Cung,Trường THPT,Phan Thị Sông Hương,". Thôn Hòa Đa Tây, Tt. Phú Đa, H. Phú Vang, T. Thừa Thiên Huế",107.71366,16.44347792,02343868389,thpt-nscung@thuathienhue.edu.vn,http://thpt-nscung.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/nscung.jpg,POINT (107.71366 16.44347792)
170,Trường THPT Phú Lộc,Trường THPT,Trần Thị Hồng Hạnh,"Thị Trấn Phú Lộc, Phú Lộc",107.8676799,16.26868581,02343871574,thpt.pl@thue.edu.vn,http://thpt-ploc.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/phu_loc.png,POINT (107.8676799 16.26868581)
171,Trường THPT Thừa Lưu,Trường THPT,Nguyễn Hoàng Ngọc,"Thôn Phước Lộc, Xã Lộc Tiến, H. Phú Lộc, T. Thừa Thiên Huế",107.969722,16.27305592,0948765301,hoangngoc12345@gmail.com,http://thpt-tluu.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/thu_luu.jpg,POINT (107.969722 16.27305592)
172,Trường THPT Vinh Lộc,Trường THPT,Nguyễn Văn Tuấn,"Thôn Phụng Chánh, xã Vinh Hưng, huyện Phú Lộc Thừa Thiên Huế",107.842652,16.37394682,0986316272,vantuanc3@gmail.com,http://thpt-vloc.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/vinh_loc.png,POINT (107.842652 16.37394682)
173,Trường THPT Nguyễn Đình Chiểu,Trường THPT,Lê Thân,"QL1A, Phong An, Phong Điền, Thừa Thiên Huế",107.4484273,16.54822312,02343508833,thpt.ndc@hue.edu.vn,http://thpt-ndchieu.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/nguyen_dinh_chieu.png,POINT (107.4484273 16.54822312)
174,Trường THPT Phong Điền,Trường THPT,Lê Văn Phước,"34 Văn Lang, TT. Phong Điền, Phong Điền, Thừa Thiên Huế",107.374058,16.5777001,02343551709,levanphuocht@gmail.com,http://thpt-pdien.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/phong_dien.png,POINT (107.374058 16.5777001)
175,Trường THPT Tam Giang,Trường THPT,Hoàng Đức Diễn,"QL49B, Điền Hải, Phong Điền, Thừa Thiên Huế",107.4669897,16.65449744,0972712081,ducdien09@gmail.com,http://thpt-tgiang.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/tam_giang.png,POINT (107.4669897 16.65449744)
176,Trường THPT Trần Văn Kỷ,Trường THPT,Nguyễn Thị Hải Vân,"Phong Bình, Phong Điền, Thừa Thiên Huế",107.3337655,16.6729144,0168.669.4719,thpt.tvk@thuathienhue.edu.vn,http://thpt-tvky.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/tvky.jpg,POINT (107.3337655 16.6729144)
177,Trường THPT Hương Giang,Trường THPT,Nguyễn Toàn Thắng,"Thôn Tây Linh, Xã Hương Giang, Huyện Nam Đông, Thừa Thiên, Huế,",107.6851734,16.12741117,02343894846,thpt.hg@hue.edu.vn,,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/thpthuong_giang.jpg,POINT (107.6851734 16.12741117)
178,Trường THPT Hương Lâm,Trường THPT,Lê Văn Hòa,"Hương Lâm, A Lưới",107.335983,16.13003749,02343870720,thpt.hlam@thuathienhue.edu.vn,http://thpt-hlam.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/huong_lam.jpg,POINT (107.335983 16.13003749)
179,Trường THPT A Lưới,Trường THPT,Đàm Thị Hoa,"Cụm 7, Thị trấn A Lưới, Huyện A Lưới, Thừa Thiên Huế",107.2293598,16.27460267,02343500957,thptaluoi@gmail.com,http://thpt-aluoi.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/a_luoi.jpg,POINT (107.2293598 16.27460267)
180,Trường THPT Đặng Huy Trứ,Trường THPT,Nguyễn Hối,"Phường Hương Chữ, Thị xã Hương Trà",107.5061574,16.48022949,983.518.037,thpt.dht@thuathienhue.edu.vn,http://thpt-dhtru.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dhtru.jpg,POINT (107.5061574 16.48022949)
181,Trường THPT Thuận Hóa,Trường THPT,PGS. TS. Nguyễn Văn Thuận,"An Tây, TP Huế",107.6056672,16.43604914,02343600496,thpt.thoa@hue.edu.vn,http://thpt-thoa.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/thuan_hoa.jpg,POINT (107.6056672 16.43604914)
182,Trường THCS&THPT Hồng Vân,Trường Trung Học Nhiều cấp,Đoàn Chí Quýnh,"Xã Hồng Vân, Huyện A Lưới, Tỉnh Thừa Thiên - Huế.",107.144037,16.35259992,02343870189,thpt.hvan@hue.edu.vn,http://ptth-hvan.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/hong_van.jpg,POINT (107.144037 16.35259992)
183,Trường THCS&THPT Huế Star,Trường Trung Học Nhiều cấp,Vệ Văn Lẫm,"Phú Thượng, Phú Vang",107.6063627,16.4945879,02343984748,info@hss.edu.vn,http://ptth-hstar.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/hue_star(1).jpg,POINT (107.6063627 16.4945879)
144,Trường THPT Bình Điền,Trường THPT,Nguyễn Xuân Thụ,"Bình Thành, Thị xã Hương Trà",107.4993744,16.34890067,02343767336,thpt.bdien@thuathienhue.edu.vn,http://thpt-bdien.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/binh_dien.png,POINT (107.4993744 16.34890067)
145,Trường THPT An Lương Đông,Trường THPT,Nguyễn Khả,"Lộc An, Phú Lộc",107.7657851,16.3264792,02343874232,thpt-aldong@thuathienhue.edu.vn,http://thpt-aldong.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/an_luong_dong.png,POINT (107.7657851 16.3264792)
146,Trường THPT Hoá Châu,Trường THPT,Đặng Trần Phong,"Quảng An, Quảng Điền",107.5501807,16.54745135,02343556212,thpt.hc@thuathienhue.edu.vn,http://thpt-hchau.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/hoa_chau.png,POINT (107.5501807 16.54745135)
147,Trường THPT Nguyễn Chí Thanh,Trường THPT,Nguyễn Văn Lộc,"Thị Trấn Sịa, Quảng Điền",107.5041721,16.57408414,02343564130,thpt.nct@hue.edu.vn,http://thpt-ncthanh.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/nguyen_chi_thanh.png,POINT (107.5041721 16.57408414)
148,Trường THPT Tố Hữu,Trường THPT,Hoàng Đình Thông,"Quảng Công, Quảng Điền",107.5419673,16.61440509,0988400143,thpt.th@hue.edu.vn,http://thpt-thuu.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/to_huu.png,POINT (107.5419673 16.61440509)
149,Trường THPT Chi Lăng,Trường THPT,Văn Thị Yến Phương,"Phú Cát, TP Huế",107.5895169,16.47609383,02343611160,chilanghighschool@gmail.com,http://thptchilang.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/chi_lang.png,POINT (107.5895169 16.47609383)
150,Trường THPT Nam Đông,Trường THPT,Nguyễn Thái Huy,"Trị Trấn Khe Tre, Nam Đông",107.7202948,16.17888159,914.091.479,thpt.nd@hue.edu.vn,http://thpt-ndong.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/nam_dong.png,POINT (107.7202948 16.17888159)
