id,tendoituong,loaihinh,tenhieutruong,diachi,correctedCoords,poiLong,poiLat,sdt,email,website,anh,geometry
181,Trường THPT Thuận Hóa,Trường THPT,PGS. TS. Nguyễn Văn Thuận,"An Tây, TP Huế","16.467421462785286, 107.59197563631398",107.6056672,16.43604914,2343600496,thpt.thoa@hue.edu.vn,http://thpt-thoa.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/thuan_hoa.jpg,POINT (107.6056672 16.43604914)
149,Trường THPT Chi Lăng,Trường THPT,Văn Thị Yến Phương,"Phú Cát, TP Huế","16.450318259365957, 107.61410483694976",107.5895169,16.47609383,2343611160,chilanghighschool@gmail.com,http://thptchilang.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/chi_lang.png,POINT (107.5895169 16.47609383)
152,Trường THPT DTNT tỉnh,Trường THPT,Trần Quang Đức,"3 Huyền Trân Công Chúa, Phường Đúc, Thành phố Huế, Thừa Thiên Huế","16.450119423294254, 107.55748844761526",107.557427,16.44909592,2343.88166,thpt.dtntt@hue.edu.vn,http://thpt-dtnttinh.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dtnt.jpg,POINT (107.557427 16.44909592)
153,Trường THPT Nguyễn Trường Tộ,Trường THPT,Nguyễn Hướng,"3 Nguyễn Tri Phương, Phú Hội, Thành phố Huế, Thừa Thiên Huế","16.464853217332692, 107.59165690496195",107.5914508,16.46456177,2343382424,thpt.ntt@hue.edu.vn,http://thpt-ntto.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/nguyen_truong_to.png,POINT (107.5914508 16.46456177)
155,Trường THPT Đặng Trần Côn,Trường THPT,Lê Vinh,"01 Đặng Trần Côn, Thuận Hoà, Thành phố Huế, Thừa Thiên Huế","16.463928425393135, 107.57368663385265",107.573694,16.46395992,2343522195,thpt.dtc@thuathienhue.edu.vn,http://thpt-dtcon.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/dtcon.jpg,POINT (107.573694 16.46395992)
156,Trường THPT Gia Hội,Trường THPT,Phùng Đăng Khánh,"104 Nguyễn Chí Thanh, Phú Hiệp, Thành phố Huế, Thừa Thiên Huế","16.483934874206064, 107.58685812528192",107.5875804,16.48368103,983150396,khanhpdtvk@gmail.com,http://thpt-ghoi.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/gia_hoi.png,POINT (107.5875804 16.48368103)
157,Trường THPT Cao Thắng,Trường THPT,Ngô Đắc Dũng,"11 Đống Đa, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế","16.461479456599275, 107.59251498978836",107.592914,16.46148592,2343824112,thpt.ct@hue.edu.vn,http://thpt-cthang.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/cao_thang.png,POINT (107.592914 16.46148592)
158,Trường THPT Nguyễn Huệ,Trường THPT,Hoàng Thị Kiều Dung,"83 Đinh Tiên Hoàng, Thuận Thành, Thành phố Huế, Thừa Thiên Huế","16.475794739904384, 107.57890095769206",107.578901,16.47579592,2343534307,nguyenhue@.gmail.com,http://thpt-nhue.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/nguyen_hue.png,POINT (107.578901 16.47579592)
159,Trường THPT Bùi Thị Xuân,Trường THPT,Phạm Thị Ngọc Tâm,"36 Lê Huân, Thuận Hoà, Thành phố Huế, Thừa Thiên Huế","16.472237050344056, 107.57178198714799",107.572148,16.47173292,2343530869,thpt.btx@hue.edu.vn,http://thpt-btxuan.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/btxuan.jpg,POINT (107.572148 16.47173292)
160,Trường THPT Hai Bà Trưng,Trường THPT,Ngô Đức Thức,"14 Lê Lợi, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế","16.460802840270382, 107.5846261992442",107.584908,16.46045975,2343823087,truong@thpt-haibatrung-tthue.e,http://thpt-hbtrung.thuathienhue.edu.vn/,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/3221/2020/08/hai_ba_trung.png,POINT (107.584908 16.46045975)
