poiKey,poiDesc,poiAddr,poiLat,poiLong,geometry
tth_tinhuy,Thường trực Tỉnh ủy,"54 Hùng Vương, Phú Nhuận, TP Huế",16.462036289029093,107.59545385081452,POINT (107.59545385081452 16.462036289029093)
tth_ubnd,UBND Tỉnh<br>HĐND Tỉnh<br>TTHCC Tỉnh,"16 Lê Lợi, Vĩnh Ninh, TP Huế",16.4621257431084,107.58536115655352,POINT (107.58536115655352 16.4621257431084)
tth_mttq,UB MTTQ Tỉnh,"47 Hai Bà Trưng, Vĩnh Ninh, TP Huế",16.45989371513667,107.58939681119745,POINT (107.58939681119745 16.45989371513667)
hue_ubnd,UBND TP Huế,"24 Tố Hữu, Xuân Phú, TP Huế",16.462639759565956,107.60225540324456,POINT (107.60225540324456 16.462639759565956)
soCongThuong,Sở Công Thương,"2 Tôn Đức Thắng, Phú Nhuận, TP Huế",16.464000320675858,107.59735181413032,POINT (107.59735181413032 16.464000320675858)
soKHDT,Sở Kế hoạch & Đầu tư,"7 Tôn Đức Thắng, Phú Nhuận, TP Huế",16.463470442727335,107.5981075558385,POINT (107.5981075558385 16.463470442727335)
soLDTBXH,Sở Lao động Thương binh & Xã hội,"18 Nguyễn Sinh Sắc, Vỹ Dạ, TP Huế",16.4760584231739,107.60258749673714,POINT (107.60258749673714 16.4760584231739)
soNoivu,Sở Nội vụ,"9 Đống Đa, Vĩnh Ninh, TP Huế",16.45990262280716,107.59094222048722,POINT (107.59094222048722 16.45990262280716)
soTaichinh,Sở Tài chính,"1 Nguyễn Văn Huyên, Phú Nhuận, TP Huế",16.463629594982287,107.59710613249604,POINT (107.59710613249604 16.463629594982287)
soTTTT,Sở Thông tin & Truyền thông,"36 Phạm Văn Đồng, Vỹ Dạ, TPHuế",16.47754417879496,107.60199621503203,POINT (107.60199621503203 16.47754417879496)
soVHTT,Sở Văn hóa Thể thao,"8 Lý Thưởng Kiệt, Vĩnh Ninh, TP Huế",16.462207080881996,107.59096536282071,POINT (107.59096536282071 16.462207080881996)
soNgoaivu,Sở Ngoại vụ,"24 Lý Thường Kiệt, Vĩnh Ninh, TP Huế",16.459531994183937,107.59119067864196,POINT (107.59119067864196 16.459531994183937)
