stt,ten,sodienthoai,dientich
1,Indochine Palace,+84 (0)234 393 6666,2500
2,Kinh Thành (Azerai La Résidence),0234 3837475,13710
3,Pilgrimage Villge boutique resort & spa,0234 3885461,"38831,6"
4,Vinpearl Hotel Huế,0234 3688666,5244
5,Century Riverside Huế,0234 3823390,19656
6,Cherish,0234 3943943,"782,7"
7,Eldora,0234 3866666,1000
8,Hương Giang Resort & Spa,0234 3822122,135080
9,Khách sạn Asia,0234 3830284,0
10,Khách sạn Mondial Huế,0234 3945599,1934
11,Khách sạn Saigon Morin Huế,0234 3823526,7702
12,Khách sạn Thanh Lịch Royal Boutique,2343825973,1000
13,Midtown Huế,6260888,0
14,Moonlight Huế,0234 3979797,676
15,Mường Thanh Huế,0234 3936688,2256
16,Park View ,0234 3823278,2400
17,Romance,0234 3898888,773
18,SilkPath - Huế,0234 3824668,10235
19,Baly,0234 3876869,3682
20,Đạt Anh,0234 3889889,440
21,Duy Tân ,0234 3825001,5757
22,Duy Tân 2,0234 3936986,779
23,Hoa Nhài,3830111,0
24,Khách sạn ALBA SPA - Alba Spa Hotel ,2343828444,968
25,Khách sạn Đạt Anh,3814175,0
26,Khách sạn Heritage Huế,0234 3838888,3600
27,Khách sạn Thanh Lịch Huế,0234 3877877,600
28,Thanh Tâm Seaside Resort,3874456,0
29,Ánh Sáng,"234,3948585",220
30,Ánh Sáng Thanh Bình ,"234,3935887",0
31,Bình Minh 1,"234,3825526",0
32,CANOSA,3845479,0
33,Carnosa,"234,3845479",0
34,Điểm Đến (Beaulieu Boutique),"234,3828096",0
35,DMZ,0234 3938687,263
36,GOLDEN STAR,"234,3831358",0
37,Hải Phương,"234,3981234",120
38,Hạnh Đạt,3898486,0
39,Hoa Lan,"234,3831177",13001
40,Hoàn Cầu,"234,3824642",0
41,Hoàng Yến (Canary - Cơ sở 2),"234,3936447",159
42,Hoàng Yến (Canary),0234 3839699,159
43,Hương Cau,"234,3812666",0
44,Huyền Trang 1,0234.3932.932,220
45,Huyền Trang II,0234.389.79.79,220
46,Khách sạn Crown,2343936167,0
47,Khách sạn DMZ,"234,3826831",263
48,Khách sạn Gardenia Huế,"234,3686836","102,3"
49,Khách sạn Hoàng Dinh,"234,3812222",204
50,Khách sạn La Perle Huế,"234,3816678",1627
51,Khách sạn Lý Tưởng,2343825555,1940
52,Khách sạn Nguyễn Tri Phương,2343829282,9
53,Khách sạn Victory,"234,381477",200
54,KSND ven sông Huế (Vườn xưa),"234,3978484",34000
55,Nhà khách Điện Biên,"234,3821678",6500
56,Như Hiền,3822908,0
57,Phú An,"234,3821168",0
58,Thái Bình II,"234,3827561",0
59,Thân Thiện,"234,3834666",240
60,Thành Nội ,3522478,0
61,Amona,3898336,0
62,Bảo Minh,"234,3829953",0
63,Bình Dương I ,"234,382999",150
64,Cherry Villa ,2343897995,350
65,COZY HUE,3935979,0
66,Đồng Lợi ,"234,3822296",0
67,Đường Sắt Huế,"234,358112",5976
68,Gia Đạt,0234 3812528,100
69,Hoàng Dũ,"234,3932552",0
70,Hoàng Triều,3837837,0
71,HOLIDAY,"234,3819844",0
72,Hồng Thiện,"234,3837272",0
73,Hue Garden Villa Hotel,"234,3828403",0
74,Huế Sài Gòn,"234,3821007",0
