stt,ten,sodienthoai,dientich,coords
1,Indochine Palace,+84 (0)234 393 6666,2500,"16.46118512653497, 107.59827974018751"
2,Kinh Thành (Azerai La Résidence),0234 3837475,13710,"16.459106813752875, 107.58024068298002"
3,Pilgrimage Villge boutique resort & spa,0234 3885461,38831.6,"16.425058162806483, 107.57951647088434"
4,Vinpearl Hotel Huế,0234 3688666,5244,"16.463044602197375, 107.59439155260029"
5,Century Riverside Huế,0234 3823390,19656,"16.470489834091808, 107.59352215625351"
6,Cherish,0234 3943943,782.7,"16.465455355118966, 107.59490339699012"
7,Eldora,0234 3866666,1000,"16.464709367326638, 107.5945300908055"
8,Hương Giang Resort & Spa,0234 3822122,135080,"16.470795278121283, 107.59449688122042"
9,Khách sạn Asia,0234 3830284,0,"16.46904870789638, 107.59482747161847"
10,Khách sạn Mondial Huế,0234 3945599,1934,"16.457819010682524, 107.58325392355101"
11,Khách sạn Saigon Morin Huế,0234 3823526,7702,"16.466668262258132, 107.59017252358419"
12,Khách sạn Thanh Lịch Royal Boutique,2343825973,1000,"16.460469689774595, 107.5893634342662"
13,Midtown Huế,6260888,0,"16.468338442966907, 107.59417653841007"
14,Moonlight Huế,0234 3979797,676,"16.469365184062926, 107.59426733103076"
15,Mường Thanh Huế,0234 3936688,2256,"16.469395910655138, 107.59344663320725"
16,Park View ,0234 3823278,2400,"16.462510314664534, 107.58902489417817"
17,Romance,0234 3898888,773,"16.468084864781535, 107.59577962745115"
18,SilkPath - Huế,0234 3824668,10235,"16.457752943541834, 107.57973349521114"
19,Baly,0234 3876869,3682,"16.46190755436314, 107.60009290243154"
20,Đạt Anh,0234 3889889,440,"16.474778735466277, 107.60248781779191"
21,Duy Tân ,0234 3825001,5757,"16.465349948710173, 107.5923926195694"
22,Duy Tân 2,0234 3936986,779,"16.465519332717836, 107.595595174074"
23,*Hoa Nhài,3830111,0,
24,Khách sạn ALBA SPA - Alba Spa Hotel ,2343828444,968,"16.46518310838434, 107.59535059861498"
25,Khách sạn Đạt Anh,3814175,0,"16.474777160996638, 107.60248856278953"
26,Khách sạn Heritage Huế,0234 3838888,3600,"16.462658058827355, 107.59129235436347"
27,Khách sạn Thanh Lịch Huế,0234 3877877,600,"16.460469948990195, 107.58936258505909"
28,**Thanh Tâm Seaside Resort,3874456,0,
29,Ánh Sáng,234.3948585,220,
30,Ánh Sáng Thanh Bình ,234.3935887,0,
31,Bình Minh 1,234.3825526,0,"16.46590304375581, 107.59479726772645"
32,CANOSA,3845479,0,
33,Carnosa,234.3845479,0,"16.472026181248108, 107.59579431753822"
34,Điểm Đến (Beaulieu Boutique),234.3828096,0,
35,DMZ,0234 3938687,263,"16.468661706439466, 107.59416289054552"
36,GOLDEN STAR,234.3831358,0,"16.47088384778278, 107.59629455777818"
37,Hải Phương,234.3981234,120,"16.461446772308406, 107.58914879006876"
38,Hạnh Đạt,3898486,0,"16.47252967745431, 107.60051432963667"
39,Hoa Lan,234.3831177,13001,"16.469671888522328, 107.59533655218021"
40,*Hoàn Cầu,234.3824642,0,
41,Hoàng Yến (Canary - Cơ sở 2),234.3936447,159,
42,Hoàng Yến (Canary),0234 3839699,159,"16.471333809237468, 107.59706112373856"
43,Hương Cau,234.3812666,0,"16.46074346571541, 107.59720992196395"
44,Huyền Trang 1,0234.3932.932,220,"16.4750564494246, 107.60267334846287"
45,Huyền Trang II,0234.389.79.79,220,"16.477954166049834, 107.59554534947226"
46,Khách sạn Crown,2343936167,0,"16.462933284212777, 107.6071970975377"
47,Khách sạn DMZ,234.3826831,263,
48,Khách sạn Gardenia Huế,234.3686836,102.3,"16.471491198738676, 107.59623233769993"
49,Khách sạn Hoàng Dinh,234.3812222,204,"16.462221398153538, 107.59946869698997"
50,Khách sạn La Perle Huế,234.3816678,1627,"16.46993993900234, 107.59702660488071"
51,Khách sạn Lý Tưởng,2343825555,1940,"16.46853703023453, 107.59455941743732"
52,Khách sạn Nguyễn Tri Phương,2343829282,9,
53,Khách sạn Victory,234.381477,200,"16.462158567494466, 107.60258891598838"
54,KSND ven sông Huế (Vườn xưa),234.3978484,34000,
55,Nhà khách Điện Biên,234.3821678,6500,"16.457408666729627, 107.58135869307863"
56,*Như Hiền,3822908,0,
57,Phú An,234.3821168,0,"16.46520825511672, 107.59321449698989"
58,Thái Bình II,234.3827561,0,"16.465610400433043, 107.59085451071965"
59,Thân Thiện,234.3834666,240,"16.471936095543473, 107.59536885968025"
60,Thành Nội ,3522478,0,
61,Amona,3898336,0,"16.471984397484608, 107.59589030433968"
62,Bảo Minh,234.3829953,0,"16.469663091816706, 107.59460642275025"
63,Bình Dương I ,234.382999,150,"16.46440133131003, 107.59292281069064"
64,Cherry Villa ,2343897995,350,"16.478256677100863, 107.60116994470405"
