,stt,poiDesc,poiAddr,dientich,coords,poiLat,poiLong,geometry
0,1,Indochine Palace,+84 (0)234 393 6666,2500.0,"16.46118512653497, 107.59827974018751",16.46118512653497,107.59827974018751,POINT (107.59827974018751 16.46118512653497)
1,2,Kinh Thành (Azerai La Résidence),0234 3837475,13710.0,"16.459106813752875, 107.58024068298002",16.459106813752875,107.58024068298002,POINT (107.58024068298002 16.459106813752875)
2,3,Pilgrimage Villge boutique resort & spa,0234 3885461,38831.6,"16.425058162806483, 107.57951647088434",16.425058162806483,107.57951647088434,POINT (107.57951647088434 16.425058162806483)
3,4,Vinpearl Hotel Huế,0234 3688666,5244.0,"16.463044602197375, 107.59439155260029",16.463044602197375,107.59439155260029,POINT (107.59439155260029 16.463044602197375)
4,5,Century Riverside Huế,0234 3823390,19656.0,"16.470489834091808, 107.59352215625351",16.470489834091808,107.59352215625351,POINT (107.59352215625351 16.470489834091808)
5,6,Cherish,0234 3943943,782.7,"16.465455355118966, 107.59490339699012",16.465455355118966,107.59490339699012,POINT (107.59490339699012 16.465455355118966)
6,7,Eldora,0234 3866666,1000.0,"16.464709367326638, 107.5945300908055",16.464709367326638,107.5945300908055,POINT (107.5945300908055 16.464709367326638)
7,8,Hương Giang Resort & Spa,0234 3822122,135080.0,"16.470795278121283, 107.59449688122042",16.470795278121283,107.59449688122042,POINT (107.59449688122042 16.470795278121283)
8,9,Khách sạn Asia,0234 3830284,0.0,"16.46904870789638, 107.59482747161847",16.46904870789638,107.59482747161847,POINT (107.59482747161847 16.46904870789638)
9,10,Khách sạn Mondial Huế,0234 3945599,1934.0,"16.457819010682524, 107.58325392355101",16.457819010682524,107.58325392355101,POINT (107.58325392355101 16.457819010682524)
10,11,Khách sạn Saigon Morin Huế,0234 3823526,7702.0,"16.466668262258132, 107.59017252358419",16.466668262258132,107.59017252358419,POINT (107.59017252358419 16.466668262258132)
11,12,Khách sạn Thanh Lịch Royal Boutique,2343825973,1000.0,"16.460469689774595, 107.5893634342662",16.460469689774595,107.5893634342662,POINT (107.5893634342662 16.460469689774595)
12,13,Midtown Huế,6260888,0.0,"16.468338442966907, 107.59417653841007",16.468338442966907,107.59417653841007,POINT (107.59417653841007 16.468338442966907)
13,14,Moonlight Huế,0234 3979797,676.0,"16.469365184062926, 107.59426733103076",16.469365184062926,107.59426733103076,POINT (107.59426733103076 16.469365184062926)
14,15,Mường Thanh Huế,0234 3936688,2256.0,"16.469395910655138, 107.59344663320725",16.469395910655138,107.59344663320725,POINT (107.59344663320725 16.469395910655138)
15,16,Park View ,0234 3823278,2400.0,"16.462510314664534, 107.58902489417817",16.462510314664534,107.58902489417817,POINT (107.58902489417817 16.462510314664534)
16,17,Romance,0234 3898888,773.0,"16.468084864781535, 107.59577962745115",16.468084864781535,107.59577962745115,POINT (107.59577962745115 16.468084864781535)
17,18,SilkPath - Huế,0234 3824668,10235.0,"16.457752943541834, 107.57973349521114",16.457752943541834,107.57973349521114,POINT (107.57973349521114 16.457752943541834)
18,19,Baly,0234 3876869,3682.0,"16.46190755436314, 107.60009290243154",16.46190755436314,107.60009290243154,POINT (107.60009290243154 16.46190755436314)
19,20,Đạt Anh,0234 3889889,440.0,"16.474778735466277, 107.60248781779191",16.474778735466277,107.60248781779191,POINT (107.60248781779191 16.474778735466277)
20,21,Duy Tân ,0234 3825001,5757.0,"16.465349948710173, 107.5923926195694",16.465349948710173,107.5923926195694,POINT (107.5923926195694 16.465349948710173)
21,22,Duy Tân 2,0234 3936986,779.0,"16.465519332717836, 107.595595174074",16.465519332717836,107.595595174074,POINT (107.595595174074 16.465519332717836)
23,24,Khách sạn ALBA SPA - Alba Spa Hotel ,2343828444,968.0,"16.46518310838434, 107.59535059861498",16.46518310838434,107.59535059861498,POINT (107.59535059861498 16.46518310838434)
24,25,Khách sạn Đạt Anh,3814175,0.0,"16.474777160996638, 107.60248856278953",16.474777160996638,107.60248856278953,POINT (107.60248856278953 16.474777160996638)
25,26,Khách sạn Heritage Huế,0234 3838888,3600.0,"16.462658058827355, 107.59129235436347",16.462658058827355,107.59129235436347,POINT (107.59129235436347 16.462658058827355)
26,27,Khách sạn Thanh Lịch Huế,0234 3877877,600.0,"16.460469948990195, 107.58936258505909",16.460469948990195,107.58936258505909,POINT (107.58936258505909 16.460469948990195)
30,31,Bình Minh 1,234.3825526,0.0,"16.46590304375581, 107.59479726772645",16.46590304375581,107.59479726772645,POINT (107.59479726772645 16.46590304375581)
32,33,Carnosa,234.3845479,0.0,"16.472026181248108, 107.59579431753822",16.472026181248108,107.59579431753822,POINT (107.59579431753822 16.472026181248108)
34,35,DMZ,0234 3938687,263.0,"16.468661706439466, 107.59416289054552",16.468661706439466,107.59416289054552,POINT (107.59416289054552 16.468661706439466)
35,36,GOLDEN STAR,234.3831358,0.0,"16.47088384778278, 107.59629455777818",16.47088384778278,107.59629455777818,POINT (107.59629455777818 16.47088384778278)
36,37,Hải Phương,234.3981234,120.0,"16.461446772308406, 107.58914879006876",16.461446772308406,107.58914879006876,POINT (107.58914879006876 16.461446772308406)
37,38,Hạnh Đạt,3898486,0.0,"16.47252967745431, 107.60051432963667",16.47252967745431,107.60051432963667,POINT (107.60051432963667 16.47252967745431)
38,39,Hoa Lan,234.3831177,13001.0,"16.469671888522328, 107.59533655218021",16.469671888522328,107.59533655218021,POINT (107.59533655218021 16.469671888522328)
41,42,Hoàng Yến (Canary),0234 3839699,159.0,"16.471333809237468, 107.59706112373856",16.471333809237468,107.59706112373856,POINT (107.59706112373856 16.471333809237468)
42,43,Hương Cau,234.3812666,0.0,"16.46074346571541, 107.59720992196395",16.46074346571541,107.59720992196395,POINT (107.59720992196395 16.46074346571541)
43,44,Huyền Trang 1,0234.3932.932,220.0,"16.4750564494246, 107.60267334846287",16.4750564494246,107.60267334846287,POINT (107.60267334846287 16.4750564494246)
44,45,Huyền Trang II,0234.389.79.79,220.0,"16.477954166049834, 107.59554534947226",16.477954166049834,107.59554534947226,POINT (107.59554534947226 16.477954166049834)
45,46,Khách sạn Crown,2343936167,0.0,"16.462933284212777, 107.6071970975377",16.462933284212777,107.6071970975377,POINT (107.6071970975377 16.462933284212777)
47,48,Khách sạn Gardenia Huế,234.3686836,102.3,"16.471491198738676, 107.59623233769993",16.471491198738676,107.59623233769993,POINT (107.59623233769993 16.471491198738676)
48,49,Khách sạn Hoàng Dinh,234.3812222,204.0,"16.462221398153538, 107.59946869698997",16.462221398153538,107.59946869698997,POINT (107.59946869698997 16.462221398153538)
49,50,Khách sạn La Perle Huế,234.3816678,1627.0,"16.46993993900234, 107.59702660488071",16.46993993900234,107.59702660488071,POINT (107.59702660488071 16.46993993900234)
50,51,Khách sạn Lý Tưởng,2343825555,1940.0,"16.46853703023453, 107.59455941743732",16.46853703023453,107.59455941743732,POINT (107.59455941743732 16.46853703023453)
52,53,Khách sạn Victory,234.381477,200.0,"16.462158567494466, 107.60258891598838",16.462158567494466,107.60258891598838,POINT (107.60258891598838 16.462158567494466)
54,55,Nhà khách Điện Biên,234.3821678,6500.0,"16.457408666729627, 107.58135869307863",16.457408666729627,107.58135869307863,POINT (107.58135869307863 16.457408666729627)
56,57,Phú An,234.3821168,0.0,"16.46520825511672, 107.59321449698989",16.46520825511672,107.59321449698989,POINT (107.59321449698989 16.46520825511672)
57,58,Thái Bình II,234.3827561,0.0,"16.465610400433043, 107.59085451071965",16.465610400433043,107.59085451071965,POINT (107.59085451071965 16.465610400433043)
58,59,Thân Thiện,234.3834666,240.0,"16.471936095543473, 107.59536885968025",16.471936095543473,107.59536885968025,POINT (107.59536885968025 16.471936095543473)
60,61,Amona,3898336,0.0,"16.471984397484608, 107.59589030433968",16.471984397484608,107.59589030433968,POINT (107.59589030433968 16.471984397484608)
61,62,Bảo Minh,234.3829953,0.0,"16.469663091816706, 107.59460642275025",16.469663091816706,107.59460642275025,POINT (107.59460642275025 16.469663091816706)
62,63,Bình Dương I ,234.382999,150.0,"16.46440133131003, 107.59292281069064",16.46440133131003,107.59292281069064,POINT (107.59292281069064 16.46440133131003)
63,64,Cherry Villa ,2343897995,350.0,"16.478256677100863, 107.60116994470405",16.478256677100863,107.60116994470405,POINT (107.60116994470405 16.478256677100863)
64,65,COZY HUE,3935979,0.0,"16.4697879849877, 107.59696659156135",16.4697879849877,107.59696659156135,POINT (107.59696659156135 16.4697879849877)
65,66,Đồng Lợi ,234.3822296,0.0,"16.468909225056883, 107.59495014308357",16.468909225056883,107.59495014308357,POINT (107.59495014308357 16.468909225056883)
66,67,Đường Sắt Huế,234.358112,5976.0,"16.473078997525125, 107.57397517195078",16.473078997525125,107.57397517195078,POINT (107.57397517195078 16.473078997525125)
67,68,Gia Đạt,0234 3812528,100.0,"16.457386157607463, 107.58263637991867",16.457386157607463,107.58263637991867,POINT (107.58263637991867 16.457386157607463)
68,69,Hoàng Dũ,234.3932552,0.0,"16.47455525983169, 107.60259903424834",16.47455525983169,107.60259903424834,POINT (107.60259903424834 16.47455525983169)
