GID_3,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,NL_NAME_2,NAME_3,VARNAME_3,NL_NAME_3,TYPE_3,ENGTYPE_3,CC_3,HASC_3,Shape_Leng,Shape_Area,geometry
VNM.54.1.1_1,VNM,Vietnam,VNM.54_1,Thừa Thiên Huế,NA,VNM.54.1_1,A Lưới,NA,A Đớt,A Dot,NA,Xã,Ward,NA,NA,0.188706337269,0.00140368459852,"POLYGON ((107.37791442890784 16.074556350395312, 107.37715148905005 16.074138642284538, 107.37706756521601 16.074197770011153, 107.3768081665637 16.07418632523877, 107.37669372513534 16.074008942059095, 107.37656402580922 16.07381630008223, 107.3732070922336 16.071975708911907, 107.37273406862244 16.071033476613707, 107.3723373407957 16.07024192842232, 107.37025451633292 16.066123961551625, 107.36974334707787 16.06510734722633, 107.3695373537659 16.06495857327957, 107.3667297359886 16.06288337776573, 107.36360931421854 16.062042235560796, 107.36140441937852 16.062318802270966, 107.35714721587135 16.064256666811787, 107.35206604091513 16.062307358397902, 107.34623718309956 16.062881470303637, 107.34571838309694 16.06241798400282, 107.3428497310303 16.059864044290237, 107.33953857384614 16.056921005699905, 107.33940887541934 16.056806565170916, 107.33550262514609 16.055721282211437, 107.33367919933562 16.055740355932755, 107.33345031827764 16.05800628686069, 107.32984161409928 16.05980682402577, 107.32901763815352 16.065599441860797, 107.32762908761237 16.068256379128627, 107.3240280150809 16.07081031884121, 107.31956482006046 16.070068360166715, 107.31929015991301 16.070022582875936, 107.31907653765217 16.069953918738406, 107.32144165121127 16.0727329272828, 107.32851409964604 16.077861786991946, 107.33233642608525 16.07903862003633, 107.33293151917434 16.08024787903645, 107.33608245943799 16.082441329104086, 107.33663940508455 16.08425331194087, 107.33624267725781 16.08573341436562, 107.3383026130752 16.087682724578144, 107.33824157788655 16.088768005738928, 107.34003448520338 16.091045379640605, 107.33928680414277 16.093053819378326, 107.33974456805743 16.095201492155184, 107.3407745373151 16.096323014195775, 107.3438491826937 16.091247558927762, 107.34603881783721 16.09056472797988, 107.34799957282206 16.09120559656111, 107.35145568902891 16.09619712889446, 107.35136413534661 16.097629548365035, 107.35222625783558 16.09872436503747, 107.35157775760752 16.100723265666204, 107.35264587340839 16.09927749575985, 107.35802459715751 16.102098464872313, 107.3608322140355 16.097833633315588, 107.36318206699883 16.098806381409418, 107.36528778010705 16.10121154897388, 107.36617279034203 16.10131263816777, 107.36724090704229 16.099409104346762, 107.3662872317704 16.096374512074135, 107.36902618271222 16.092956542410548, 107.36731720012875 16.091220856257564, 107.3675994856278 16.08979797409728, 107.37149810875076 16.08234596229636, 107.37791442890784 16.074556350395312))"
VNM.54.1.2_1,VNM,Vietnam,VNM.54_1,Thừa Thiên Huế,NA,VNM.54.1_1,A Lưới,NA,A Lưới,A Luoi,NA,Thị trấn,Townlet,NA,NA,0.153621548565,0.00113450544623,"POLYGON ((107.25400543270462 16.292091370820174, 107.25057983499147 16.29019737161144, 107.24913787821055 16.288551329880022, 107.2478256225545 16.285642623808087, 107.24716949517614 16.28046417278341, 107.24494171079141 16.279193878594697, 107.24507141191617 16.27717399678255, 107.24690246487694 16.273895262856172, 107.2467727673494 16.27200126724472, 107.24039459283625 16.268861769954754, 107.23828887882877 16.26583862335383, 107.2328491216897 16.26479721202179, 107.2323989858246 16.266538620560937, 107.22804260238428 16.265485763557194, 107.2256698607755 16.268644331870462, 107.21925353971915 16.270698547999643, 107.21746826135126 16.269918441882623, 107.21658325201554 16.26858711160594, 107.21552276516354 16.268638612182258, 107.21339416520863 16.271011352891662, 107.21294403114217 16.272718429811732, 107.21461486808175 16.2742176059578, 107.21613311794908 16.27453994816011, 107.21717071525637 16.27652931237793, 107.21636199900712 16.2790107730288, 107.21712493976423 16.28082275496621, 107.22487640332344 16.286731719892998, 107.22650909461908 16.292182922703773, 107.22541809107213 16.297195435321157, 107.22747039704126 16.303123474868528, 107.22581481979813 16.31058311471901, 107.22994232128116 16.31330108717549, 107.2336120597488 16.312246322709655, 107.23472595194119 16.311111450233284, 107.23786163430702 16.311491011800797, 107.24658966088418 16.306766510665966, 107.24863433880375 16.303947449015595, 107.25214386125026 16.301618577235615, 107.2529907231434 16.299758909646016, 107.25400543270462 16.292091370820174))"
VNM.54.1.3_1,VNM,Vietnam,VNM.54_1,Thừa Thiên Huế,NA,VNM.54.1_1,A Lưới,NA,A Ngo,A Ngo,NA,Xã,Ward,NA,NA,0.126938580385,0.000732678928507,"POLYGON ((107.2328491216897 16.26479721202179, 107.23828887882877 16.26583862335383, 107.24039459283625 16.268861769954754, 107.2467727673494 16.27200126724472, 107.24690246487694 16.273895262856172, 107.24507141191617 16.27717399678255, 107.24494171079141 16.279193878594697, 107.24716949517614 16.28046417278341, 107.2478256225545 16.285642623808087, 107.24913787821055 16.288551329880022, 107.25057983499147 16.29019737161144, 107.25400543270462 16.292091370820174, 107.25909423930779 16.291118622726287, 107.26372528109692 16.284387590215147, 107.26275634792717 16.281682968194502, 107.26437377862703 16.278093337737403, 107.2628936771016 16.275348664409364, 107.26184845084538 16.269908906370972, 107.25833129855067 16.265346527820043, 107.25406646609457 16.26443099999068, 107.25426483135692 16.263338088981698, 107.25607299837026 16.261602401929338, 107.25717925981508 16.25654411292055, 107.25322723404969 16.25463867343609, 107.24950409024166 16.251241684056538, 107.24225616518993 16.249063491886716, 107.24073791442328 16.250335694436785, 107.23710632429749 16.251024245972246, 107.23577117909667 16.252843856858533, 107.23525237999343 16.254062654068264, 107.23394775328626 16.25440597475597, 107.23262023883302 16.26245307874666, 107.2328491216897 16.26479721202179))"
VNM.54.1.4_1,VNM,Vietnam,VNM.54_1,Thừa Thiên Huế,NA,VNM.54.1_1,A Lưới,NA,A Roằng,A Roang,NA,Xã,Ward,NA,NA,0.315016906591,0.00481417070071,"POLYGON ((107.44632721043246 16.09128379890825, 107.44524383493507 16.091197966712855, 107.44542694140029 16.089744568756885, 107.44543457124854 16.089288712304267, 107.44535827726276 16.088853837035003, 107.44515991289973 16.088436128024966, 107.44492340199349 16.08787345909292, 107.44480133071693 16.086805344191305, 107.44448089597665 16.085973740195982, 107.44311523498016 16.08401298521113, 107.44261169377472 16.083374023192675, 107.44007110719588 16.082366942580393, 107.43978881899886 16.082298280241503, 107.43970489516482 16.08227729905815, 107.43483734157013 16.083303451593054, 107.43477630638148 16.08322906596868, 107.4346771237503 16.08327293309941, 107.43404388501733 16.083488463721665, 107.43353271576228 16.082942962847483, 107.43121337859463 16.07991218639836, 107.43021392783055 16.079286575714946, 107.42805480938199 16.07853698719225, 107.42613220183972 16.07847213797885, 107.42327117962128 16.079378127598545, 107.42292785623562 16.079303741974172, 107.42275238141735 16.079374312674418, 107.42205047494951 16.079305650335527, 107.42160797163064 16.07901191826545, 107.42052459613325 16.078773499897125, 107.41768646256025 16.081565857978035, 107.41223144482535 16.084129333202213, 107.41204833925951 16.08410835201886, 107.41040801991426 16.08392524735234, 107.41014099231302 16.083896637220107, 107.40932464621551 16.082262039361694, 107.40892791838877 16.081975937139816, 107.40697479235286 16.081663133147117, 107.40660858212044 16.081432341929087, 107.40618896474899 16.08127593993271, 107.40579986587119 16.081005097407342, 107.40541839594226 16.080558775567113, 107.40354156479145 16.07917785577348, 107.40341949531353 16.07893752994312, 107.40261077906428 16.07730102642131, 107.40279388463011 16.074863433800488, 107.40293884185411 16.072896957328794, 107.40206146326597 16.07144546593554, 107.40178680311851 16.070987702020886, 107.40174102762637 16.070909500573066, 107.40153503431446 16.070568084649437, 107.40147399912581 16.070465087993455, 107.40067291272481 16.069143295926438, 107.40048217731072 16.064744950119405, 107.3996887198586 16.063768387101447, 107.39942169225736 16.063444137437045, 107.39830780006497 16.062643051935368, 107.39646148560911 16.062725068307316, 107.39620971680506 16.06283760137427, 107.39483642506104 16.06305885258405, 107.3946304326484 16.063079833767347, 107.39289855872158 16.063932418946024, 107.39242553690906 16.06385803332165, 107.39186096321293 16.06394767774316, 107.39156341621873 16.06395340012938, 107.39093780463605 16.063749313380185, 107.3907470710206 16.063594818845843, 107.38910675077597 16.063337326756255, 107.38806915256941 16.063850402574076, 107.38664245638432 16.064868927958685, 107.38459777756543 16.06853484970361, 107.37791442890784 16.074556350395312, 107.37149810875076 16.08234596229636, 107.3675994856278 16.08979797409728, 107.36731720012875 16.091220856257564, 107.36902618271222 16.092956542410548, 107.3662872317704 16.096374512074135, 107.36724090704229 16.099409104346762, 107.36617279034203 16.10131263816777, 107.36100768975314 16.10944557165584, 107.36119079621835 16.11117172319649, 107.36944580008367 16.118850707694037, 107.36868286202451 16.120943068567783, 107.37049865708741 16.124155044020142, 107.3734664908859 16.133991242202114, 107.37431335367842 16.134166717919754, 107.3749389652611 16.132888792983465, 107.3763656623455 16.132188797574997, 107.37863922132306 16.133596420938147, 107.3853301998289 16.135568618896684, 107.38742828308887 16.137096405174987, 107.3904495240264 16.13689041096376, 107.3964462277113 16.141607284048973, 107.39737701433779 16.144033432796732, 107.4077301023624 16.144935608391677, 107.41181945820148 16.147430420377646, 107.41365051206157 16.14677619866268, 107.4144058220711 16.15369224600039, 107.41881561265046 16.159318923629485, 107.42739105305469 16.15484619219808, 107.43373108012531 16.146369935324287, 107.43530273443372 16.145654679320046, 107.43523407029619 16.143964766860563, 107.43663024888696 16.143260957427287, 107.43585968008023 16.142244338605394, 107.43627929655236 16.14100647127168, 107.43572998075405 16.138452528861194, 107.43439483555329 16.136253358205977, 107.4335098271169 16.125448226854246, 107.43115997235492 16.122449873662788, 107.43277740485343 16.11571121310203, 107.43578338609444 16.11124038643476, 107.43986511208533 16.10806656022362, 107.44306945768938 16.101785660879614, 107.44589996321281 16.098972320716086, 107.44665527322235 16.09651947109677, 107.44573974539298 16.09466934171678, 107.44632721043246 16.09128379890825))"
VNM.54.1.5_1,VNM,Vietnam,VNM.54_1,Thừa Thiên Huế,NA,VNM.54.1_1,A Lưới,NA,Bắc Sơn,Bac Son,NA,Xã,Ward,NA,NA,0.13486529678,0.000896384867161,"POLYGON ((107.1969757075629 16.294584275344107, 107.1937484751121 16.293317796079464, 107.1922454840419 16.293567658320796, 107.18190002406692 16.29781913674384, 107.17862701432529 16.299957274908365, 107.17495727585765 16.30082702724559, 107.1770629880665 16.309904097795936, 107.17832183928152 16.31225395255791, 107.18128204323176 16.312847138184907, 107.18173217729822 16.31510543926464, 107.18335723784634 16.31546020562405, 107.18503570643276 16.317335129312823, 107.18499755899023 16.3181953443397, 107.18666839592981 16.319190978381016, 107.18753814556902 16.32144737199866, 107.18911743242364 16.322034836138812, 107.19067382793486 16.326524733829444, 107.19200134328742 16.328287125350585, 107.19645690935891 16.331590651787224, 107.20391082772261 16.334018707997018, 107.21170806857259 16.338602065033342, 107.21099853495451 16.33179092361229, 107.21248626812684 16.329261780007187, 107.21038055411935 16.324670792223344, 107.21177673360944 16.32222747811568, 107.21292877144572 16.317493438771237, 107.21074676615041 16.316181182215814, 107.20558166376281 16.308965684019142, 107.20372009230846 16.308311463203495, 107.20211029055753 16.305063248670024, 107.20075988835822 16.305585860898816, 107.19940185541134 16.304883958028313, 107.1988067623223 16.298780441863926, 107.1969757075629 16.294584275344107))"
VNM.54.1.6_1,VNM,Vietnam,VNM.54_1,Thừa Thiên Huế,NA,VNM.54.1_1,A Lưới,NA,Đông Sơn,Dong Son,NA,Xã,Ward,NA,NA,0.224381065125,0.00223326980779,"POLYGON ((107.31907653765217 16.069953918738406, 107.3147125252629 16.07430648815398, 107.31373596224495 16.078340530291314, 107.30946350173929 16.080022811103902, 107.30780029374864 16.08154868992017, 107.30461883499129 16.086488724375158, 107.30186462435302 16.09318351780513, 107.29570007210071 16.09865570089994, 107.29029846240417 16.11078834490627, 107.28670501792232 16.113843918362193, 107.28659057469531 16.114976884275848, 107.28791809004787 16.117282867410438, 107.28943634081452 16.117979049693417, 107.29469299328707 16.118162156158633, 107.29483032066281 16.119462967042352, 107.2967834475981 16.12092971813206, 107.29844665558875 16.123624801943095, 107.30032348584024 16.124334334661853, 107.30752563360119 16.124784471426267, 107.3120193489139 16.13023757900112, 107.31202697696347 16.1337299351884, 107.31316375780125 16.1366176609763, 107.31190490658622 16.140037536303282, 107.31744384815511 16.142654417767233, 107.32154846099274 16.14750671256479, 107.32477569704082 16.14830017091623, 107.32592773397778 16.14726066704617, 107.32656097271081 16.144538878766298, 107.32617950458052 16.14091300922803, 107.32814025866605 16.141187666677524, 107.32881164574093 16.139350891330594, 107.32839965911705 16.136524200731344, 107.32912445063295 16.135547637713387, 107.32753753572877 16.133298874843263, 107.329521179359 16.128473280917206, 107.33468627904858 16.130443574111723, 107.33398437617808 16.12748908984969, 107.33601379440114 16.12588310212351, 107.33506774897751 16.124788283652435, 107.33525085544267 16.121927262333315, 107.33637237478536 16.120718003333252, 107.33489227325987 16.11847496015133, 107.33535766522414 16.117013932347163, 107.33391571024191 16.115839004066856, 107.334907532057 16.115856170326026, 107.33454132002595 16.115154266556203, 107.33544921890638 16.11393928516992, 107.33538055386953 16.111003874629148, 107.33764648479752 16.09791183386409, 107.3407745373151 16.096323014195775, 107.33974456805743 16.095201492155184, 107.33928680414277 16.093053819378326, 107.34003448520338 16.091045379640605, 107.33824157788655 16.088768005738928, 107.3383026130752 16.087682724578144, 107.33624267725781 16.08573341436562, 107.33663940508455 16.08425331194087, 107.33608245943799 16.082441329104086, 107.33293151917434 16.08024787903645, 107.33233642608525 16.07903862003633, 107.32851409964604 16.077861786991946, 107.32144165121127 16.0727329272828, 107.31907653765217 16.069953918738406))"
VNM.54.1.7_1,VNM,Vietnam,VNM.54_1,Thừa Thiên Huế,NA,VNM.54.1_1,A Lưới,NA,Hồng Bắc,Hong Bac,NA,Xã,Ward,NA,NA,0.260105437749,0.00263990098339,"POLYGON ((107.15287017911555 16.234725953040368, 107.14958190967747 16.235914230857134, 107.149276732835 16.238027572914234, 107.15020751856218 16.239555359192536, 107.15328216573943 16.241533278637974, 107.15497589042508 16.24727058456989, 107.15373229980582 16.252696992172503, 107.15440368598138 16.2539539341268, 107.15451812740969 16.254091263301234, 107.15570068373961 16.253946304278543, 107.15696716300425 16.25639534077243, 107.15357971183431 16.259145737385893, 107.15200042767765 16.26312255835944, 107.1490783693713 16.26432609497334, 107.146553039791 16.26828002999946, 107.14725494356088 16.26906394924191, 107.1498184205837 16.267768860744354, 107.1513061528567 16.26844978333088, 107.15016174217072 16.273231507428193, 107.1472625743084 16.277051926405306, 107.14611053467348 16.28028678960368, 107.14823150657884 16.280927658184908, 107.15010833683033 16.28400611938696, 107.15148925662396 16.284036636081964, 107.1549835211726 16.286283494187956, 107.1555023202759 16.290740966822227, 107.15697479195313 16.29284477336762, 107.16379547068448 16.295871734892728, 107.16658782876533 16.298067093321777, 107.16835785013473 16.298521042312302, 107.17076110843846 16.300815581573886, 107.17495727585765 16.30082702724559, 107.17862701432529 16.299957274908365, 107.18190002406692 16.29781913674384, 107.1922454840419 16.293567658320796, 107.1937484751121 16.293317796079464, 107.1969757075629 16.294584275344107, 107.20232391371769 16.294189454080083, 107.20809173724393 16.288328172107526, 107.21090698127222 16.2828350069301, 107.2141571041671 16.28009414582823, 107.2141952507103 16.27618980301702, 107.21717071525637 16.27652931237793, 107.21613311794908 16.27453994816011, 107.21461486808175 16.2742176059578, 107.21294403114217 16.272718429811732, 107.21339416520863 16.271011352891662, 107.21552276516354 16.268638612182258, 107.21658325201554 16.26858711160594, 107.21453094604641 16.265892027794905, 107.21316528235195 16.266736984923966, 107.21102905164946 16.26640510541131, 107.21076202404822 16.263423920277774, 107.20893859913713 16.25947570763782, 107.20417785622317 16.261516570633262, 107.19998168880397 16.262136459829833, 107.19329834104565 16.25819969286158, 107.18687439014104 16.25641250613228, 107.18658447209577 16.253946304278543, 107.18560791087646 16.252532960327926, 107.18239593542415 16.25240898068995, 107.17978668290914 16.250614166810408, 107.17342376719319 16.25258064238278, 107.16606140161247 16.242851257579503, 107.1670608523765 16.240093232017102, 107.16420745820767 16.24070930539017, 107.16396331925182 16.23900795085632, 107.16300964397993 16.238031387838305, 107.16094970816255 16.23992157122359, 107.15768432736985 16.23807716512914, 107.15575408908 16.238346100192416, 107.1549835211726 16.23635482941188, 107.15398406860993 16.237039566023213, 107.15287017911555 16.234725953040368))"
VNM.54.1.8_1,VNM,Vietnam,VNM.54_1,Thừa Thiên Huế,NA,VNM.54.1_1,A Lưới,NA,Hồng Hạ,Hong Ha,NA,Xã,Ward,NA,NA,0.536057828938,0.0117700394361,"POLYGON ((107.25400543270462 16.292091370820174, 107.2529907231434 16.299758909646016, 107.25214386125026 16.301618577235615, 107.24863433880375 16.303947449015595, 107.24739074818456 16.311002732090458, 107.24982452498188 16.3179149627054, 107.2537841796962 16.32317352174067, 107.25830078185567 16.32493209923706, 107.26116180407405 16.32942962587657, 107.26508331224511 16.330778120613843, 107.27001190102845 16.33406639005193, 107.27126312239523 16.340620042081355, 107.27112579322085 16.341625214332225, 107.26701354963569 16.344877243789824, 107.26543426637835 16.345218657914756, 107.26475524855596 16.35048484679828, 107.26560974209599 16.355321883698025, 107.2623748779983 16.357997893787797, 107.26097869760889 16.364315033112348, 107.25708770793142 16.372386933210464, 107.25603485092768 16.373369216815945, 107.25183105366028 16.37429428015696, 107.2541351320308 16.378011704276787, 107.25617218010211 16.378625871087138, 107.25923919563246 16.378406524641434, 107.26698303204137 16.382297515218227, 107.26951598967122 16.381395339623282, 107.27468872010843 16.38303184494373, 107.27647399937564 16.382474899297222, 107.28026580911984 16.37891197240964, 107.28553772128885 16.37567329518646, 107.2901458744326 16.377050400055964, 107.2929611211589 16.374950409333962, 107.29526519683145 16.37538719206532, 107.30435943543966 16.3727073661521, 107.31229400726266 16.36750411991926, 107.31581878670772 16.361507416234303, 107.32102203383982 16.356655121436745, 107.3280410769342 16.353832243962927, 107.33019256643388 16.350206376223355, 107.3313064577269 16.347076417143, 107.33273315481131 16.346084596227172, 107.33545684785531 16.346109389636695, 107.33922576895412 16.344009398914693, 107.34143066469346 16.344406126741433, 107.34442138713734 16.343051911416637, 107.34384155284545 16.33820915213073, 107.3465728757377 16.33753395013173, 107.35372924890578 16.339086533416832, 107.35902404702222 16.33889198397793, 107.3604736318527 16.331453322612788, 107.36396026565382 16.32452583320071, 107.36384582512477 16.32154083314299, 107.36559295694946 16.320224761663496, 107.36457061664072 16.317298889332335, 107.36571502822602 16.312925338733464, 107.3634109498555 16.313299179713397, 107.36039733876623 16.311365129197384, 107.35993194680196 16.3093299858902, 107.36433410573443 16.30906677411241, 107.36631012131511 16.307901382243074, 107.37571716391602 16.29726982094553, 107.37442779600605 16.295324324757814, 107.38076019322841 16.286888121889376, 107.38362884529505 16.28492927526588, 107.38551330629411 16.282535553373123, 107.38226318339923 16.279800414657473, 107.37592315632867 16.269752501676635, 107.37437438886701 16.266695022557315, 107.37460327172369 16.26407623273201, 107.3694992072227 16.26023483257154, 107.3698654165558 16.257371903790386, 107.37301635681945 16.25596046460379, 107.37281036260822 16.252775192721003, 107.37094879115386 16.252645491596184, 107.37036132791303 16.251586914904237, 107.37578582715429 16.246086119878555, 107.37406921382325 16.242881775173828, 107.37516021826951 16.23966217077259, 107.37336730915405 16.238752366228766, 107.37168121341733 16.230932234934755, 107.37456512518042 16.226467133351548, 107.37047576934134 16.224557876245058, 107.36539459258643 16.225137711436275, 107.36342620775332 16.228158949675844, 107.36040496861449 16.2301177989973, 107.3563232426236 16.23651695199578, 107.34803772026464 16.24161529590924, 107.34712219243528 16.24372672960493, 107.34064483619028 16.245857238820577, 107.33590698282109 16.248996734311902, 107.33322906526922 16.24898719790093, 107.33281707864535 16.25002861013229, 107.32983398425102 16.251651764117696, 107.32553100525178 16.251365661895818, 107.32332611131108 16.252435685158787, 107.31943511893564 16.258163452881092, 107.31759643612668 16.259616851736382, 107.31325530968485 16.260923385006265, 107.31172943086858 16.262292861826154, 107.30974578813766 16.263010026191807, 107.30252075173138 16.26121711707634, 107.29927825958407 16.26165008668221, 107.29431915230708 16.263433455789425, 107.2912368779796 16.26570129417945, 107.2854614246051 16.272489546955057, 107.27832794278038 16.27341842611952, 107.27440643371 16.275348664409364, 107.26830291844499 16.27660179233891, 107.26631164496649 16.27882575910155, 107.26372528109692 16.284387590215147, 107.25909423930779 16.291118622726287, 107.25400543270462 16.292091370820174))"
VNM.54.1.9_1,VNM,Vietnam,VNM.54_1,Thừa Thiên Huế,NA,VNM.54.1_1,A Lưới,NA,Hồng Kim,Hong Kim,NA,Xã,Ward,NA,NA,0.315908978484,0.00344414153757,"POLYGON ((107.24863433880375 16.303947449015595, 107.24658966088418 16.306766510665966, 107.23786163430702 16.311491011800797, 107.23472595194119 16.311111450233284, 107.2336120597488 16.312246322709655, 107.22994232128116 16.31330108717549, 107.22581481979813 16.31058311471901, 107.22747039704126 16.303123474868528, 107.22541809107213 16.297195435321157, 107.22650909461908 16.292182922703773, 107.22487640332344 16.286731719892998, 107.21712493976423 16.28082275496621, 107.21636199900712 16.2790107730288, 107.21717071525637 16.27652931237793, 107.2141952507103 16.27618980301702, 107.2141571041671 16.28009414582823, 107.21090698127222 16.2828350069301, 107.20809173724393 16.288328172107526, 107.20232391371769 16.294189454080083, 107.1969757075629 16.294584275344107, 107.1988067623223 16.298780441863926, 107.19940185541134 16.304883958028313, 107.20075988835822 16.305585860898816, 107.20211029055753 16.305063248670024, 107.20372009230846 16.308311463203495, 107.20558166376281 16.308965684019142, 107.21074676615041 16.316181182215814, 107.21292877144572 16.317493438771237, 107.21177673360944 16.32222747811568, 107.21038055411935 16.324670792223344, 107.21248626812684 16.329261780007187, 107.21099853495451 16.33179092361229, 107.21170806857259 16.338602065033342, 107.2179107673681 16.33954620389426, 107.22188568087955 16.341598510762708, 107.22084045372401 16.343898773309775, 107.22268676817987 16.345941543767253, 107.22444152805411 16.346714020036018, 107.22323608397818 16.348255157649476, 107.22094726620344 16.34927940272229, 107.22048187244053 16.353195191205145, 107.22267913833161 16.358375548792594, 107.22196960471354 16.363689423328253, 107.230010986318 16.371492385665135, 107.23712921204356 16.37616348325821, 107.24622344885313 16.379440308823234, 107.25183105366028 16.37429428015696, 107.25603485092768 16.373369216815945, 107.25708770793142 16.372386933210464, 107.26097869760889 16.364315033112348, 107.2623748779983 16.357997893787797, 107.26560974209599 16.355321883698025, 107.26475524855596 16.35048484679828, 107.26543426637835 16.345218657914756, 107.26701354963569 16.344877243789824, 107.27112579322085 16.341625214332225, 107.27126312239523 16.340620042081355, 107.27001190102845 16.33406639005193, 107.26508331224511 16.330778120613843, 107.26116180407405 16.32942962587657, 107.25830078185567 16.32493209923706, 107.2537841796962 16.32317352174067, 107.24982452498188 16.3179149627054, 107.24739074818456 16.311002732090458, 107.24863433880375 16.303947449015595))"
VNM.54.1.10_1,VNM,Vietnam,VNM.54_1,Thừa Thiên Huế,NA,VNM.54.1_1,A Lưới,NA,Hồng Quảng,Hong Quang,NA,Xã,Ward,NA,NA,0.108919183977,0.000480029128357,"POLYGON ((107.21658325201554 16.26858711160594, 107.21746826135126 16.269918441882623, 107.21925353971915 16.270698547999643, 107.2256698607755 16.268644331870462, 107.22804260238428 16.265485763557194, 107.2323989858246 16.266538620560937, 107.2328491216897 16.26479721202179, 107.23262023883302 16.26245307874666, 107.23394775328626 16.25440597475597, 107.23525237999343 16.254062654068264, 107.23577117909667 16.252843856858533, 107.23610687173482 16.248992921186414, 107.23469543434686 16.248260498922946, 107.23482513367304 16.24746322744602, 107.23625946060571 16.245866775231548, 107.23859405567117 16.245151519227306, 107.23955535899267 16.243700027834052, 107.2352066054006 16.24090957721529, 107.22808074892748 16.242170334093714, 107.22595977882082 16.239744188043915, 107.22489929196882 16.241481781658933, 107.22320556728317 16.242502211807675, 107.22449493339451 16.24510765209652, 107.223533630073 16.246557236927003, 107.22222137441696 16.24640846298024, 107.22158813388535 16.25186538817718, 107.2158355718542 16.256502150553843, 107.20930480936954 16.256387710024853, 107.20893859913713 16.25947570763782, 107.21076202404822 16.263423920277774, 107.21102905164946 16.26640510541131, 107.21316528235195 16.266736984923966, 107.21453094604641 16.265892027794905, 107.21658325201554 16.26858711160594))"
