NAME_3,Shape_Leng,Shape_Area,geometry,ward,population
An Cựu,0.0666727526,0.000212030246,"POLYGON ((107.60153198341436 16.45686912481034, 107.6035614007381 16.45603752081496, 107.60214233440126 16.452274322102312, 107.60781860334595 16.448776245327508, 107.60506439090898 16.44697761562452, 107.60588073700649 16.444160462335503, 107.60848998862213 16.441343307247905, 107.60770416191758 16.440050126212384, 107.6013565067974 16.44057846082734, 107.59475708107448 16.439842223639744, 107.59201049668712 16.440710067615555, 107.5924072263125 16.443454742742233, 107.59072875862535 16.44355964596093, 107.59134674125914 16.446763993363675, 107.59046935997304 16.448421478968157, 107.59191894480352 16.450084686958803, 107.59276580669666 16.45314979502706, 107.5936889652736 16.4536705015924, 107.59410095189747 16.45615768373017, 107.59654235944237 16.45551872440967, 107.6003189085908 16.456912993739707, 107.60153198341436 16.45686912481034))",An Cựu,10
An Đông,0.110376223619,0.000380516028126,"POLYGON ((107.60781860334595 16.448776245327508, 107.60214233440126 16.452274322102312, 107.6035614007381 16.45603752081496, 107.60153198341436 16.45686912481034, 107.60128784176055 16.459173203180853, 107.60263824485918 16.459459306301994, 107.60556030226621 16.46263122505104, 107.60614013655811 16.462818146440384, 107.60698699935062 16.46169471783702, 107.60824584966628 16.462465286643692, 107.61019134585399 16.46181869387766, 107.6106719966154 16.463220596653287, 107.61363983131321 16.463214875166386, 107.61365509100972 16.466186523889007, 107.61177825806021 16.46615982031949, 107.61187744069139 16.470346451327714, 107.61272430528254 16.47038650623233, 107.61280059926833 16.471296310776154, 107.61487579298353 16.470512390634383, 107.61586761479862 16.47256851332628, 107.61894226107654 16.473211287570905, 107.62377929797628 16.472272873794168, 107.6238479612145 16.470239638848284, 107.62686157230377 16.470232010798725, 107.62705230681854 16.467292786233145, 107.63055419761821 16.462831496876106, 107.6291198733835 16.462371827298057, 107.62893676691834 16.461469649904473, 107.62649536117203 16.461645125622113, 107.62707519456461 16.459693908846873, 107.62392425520028 16.459930420652427, 107.62395477369392 16.461038589559337, 107.6195907586067 16.461475373189955, 107.62104797328539 16.45382499702606, 107.61773681700055 16.451925278129124, 107.61785888557915 16.450405121699077, 107.61663818270603 16.448421478968157, 107.61339569055872 16.450220107771827, 107.61235809325149 16.449707031954006, 107.61060333337718 16.446969985776263, 107.60781860334595 16.448776245327508))",An Đông,20
An Hòa,0.127881612496,0.000443477963497,"POLYGON ((107.55130004925792 16.474060057825454, 107.55038452142855 16.473484040256324, 107.54943084705599 16.474121093014105, 107.54514312775319 16.48126411484708, 107.54358673044334 16.48036003089078, 107.54224395719291 16.481815339006744, 107.54380798255244 16.483385086752378, 107.5431137077315 16.485773087158293, 107.54366302442912 16.48741531396564, 107.54125213627714 16.489082336880415, 107.53943634121424 16.488615036554734, 107.53885650602302 16.489706041001057, 107.53321838362154 16.489446641449376, 107.53296661301886 16.488681793230228, 107.53231048743908 16.489768981853103, 107.53436279340826 16.491744995635088, 107.53371429497878 16.49225234996601, 107.53555297868706 16.495742798691253, 107.53500366288881 16.498090744192552, 107.53527069138937 16.4988555924117, 107.53815460315246 16.499040602741673, 107.5399627683671 16.50265693766761, 107.5457763682848 16.493879318875543, 107.54776763906534 16.494499208072057, 107.5468978876275 16.496623993102844, 107.54870605464077 16.497671126821103, 107.54772949162282 16.502576828757697, 107.5482025143346 16.504356384739424, 107.55093383722686 16.506935120559433, 107.55246734589139 16.50489425666467, 107.55887603709948 16.486747741814895, 107.56152343795634 16.486259462104556, 107.56214141789218 16.48314666838411, 107.55626678458452 16.478992462432245, 107.55797576896663 16.476089477847154, 107.55493927013129 16.474199293562606, 107.55303192138615 16.4766197199242, 107.55130004925792 16.474060057825454))",An Hòa,30
An Tây,0.161998976516,0.000854313961752,"POLYGON ((107.59072875862535 16.44355964596093, 107.5924072263125 16.443454742742233, 107.59201049668712 16.440710067615555, 107.59475708107448 16.439842223639744, 107.6013565067974 16.44057846082734, 107.60770416191758 16.440050126212384, 107.60848998862213 16.441343307247905, 107.60588073700649 16.444160462335503, 107.60506439090898 16.44697761562452, 107.60781860334595 16.448776245327508, 107.61060333337718 16.446969985776263, 107.60937499975648 16.44594383324136, 107.6105270393914 16.444553375238115, 107.6102066037518 16.44337463473164, 107.6122817992657 16.43689727938596, 107.61223602197492 16.435132981302104, 107.6083145138038 16.429338455105665, 107.60880279621216 16.423788072361674, 107.6105804447318 16.421075819593455, 107.61073303180405 16.4197406770906, 107.60980224607687 16.41835212744877, 107.61146545406751 16.413852692447847, 107.611709594822 16.410923004293238, 107.61618805043821 16.406124114836075, 107.61479949989706 16.406124114836075, 107.61381530793017 16.404685973878657, 107.61119842556695 16.39858436607568, 107.6094284059962 16.39912796128641, 107.6093368541126 16.404582977222674, 107.60856628530587 16.40571594313633, 107.59785461329983 16.406303404578523, 107.59068298223389 16.408891678608143, 107.58825683618409 16.410484314099847, 107.58673095736788 16.41724014271847, 107.58826446603234 16.41740035963892, 107.58816528430049 16.419931410706113, 107.58699798676776 16.42255020233, 107.58915710521632 16.423372269914353, 107.58551025539401 16.435386657568245, 107.5839996335763 16.43688011312679, 107.58718109143427 16.439447403275096, 107.58837890656133 16.44184303262989, 107.58924102725166 16.443151474261185, 107.59072875862535 16.44355964596093))",An Tây,40
Đúc,0.075645450298,0.000143875753695,"POLYGON ((107.5534667957561 16.452680588138662, 107.55779266430005 16.454727174419588, 107.57054138078018 16.459566116083465, 107.57553100475212 16.460863113841697, 107.57681274461254 16.45844078091733, 107.58039856014551 16.45684242303946, 107.58057403586315 16.45513916104352, 107.57929229780137 16.454370499698825, 107.57853698779184 16.450836182044213, 107.57727813657681 16.449319841437557, 107.57523345865724 16.452411651276748, 107.57436370811871 16.455835344225818, 107.57401275578411 16.45336723311135, 107.57302856471654 16.453401564730484, 107.57257843065014 16.455280305142026, 107.567283630735 16.45285987878043, 107.56440734792085 16.45325279258236, 107.56311798091014 16.452701569322016, 107.56321716264199 16.451786040593333, 107.55737304602928 16.448669432848078, 107.5558319093152 16.44856643799079, 107.5534667957561 16.452680588138662))",Đúc,50
Hương Long,0.123012872062,0.000615009102437,"POLYGON ((107.54224395719291 16.481815339006744, 107.54358673044334 16.48036003089078, 107.54514312775319 16.48126411484708, 107.54943084705599 16.474121093014105, 107.55038452142855 16.473484040256324, 107.55130004925792 16.474060057825454, 107.55362701267654 16.4708518981966, 107.55225372363049 16.469161988435076, 107.55307006703003 16.467803954588874, 107.55284881671957 16.466590881564002, 107.55720520105922 16.45992851319039, 107.55642700240429 16.459095000833656, 107.55493927013129 16.45898628179151, 107.55779266430005 16.454727174419588, 107.5534667957561 16.452680588138662, 107.54685974108423 16.450883865897765, 107.54324340885631 16.45158195474346, 107.54348754781216 16.454805374968146, 107.54234313982408 16.454893111927618, 107.53359985265115 16.45191002023131, 107.53240966917093 16.45378684958348, 107.53356170610789 16.454559325852244, 107.53479003792995 16.45423889201129, 107.5351486201128 16.45515823386546, 107.53651428200857 16.455104826726426, 107.53755188021518 16.457157136292835, 107.53568267801325 16.459398271113344, 107.52989959658919 16.45932388189169, 107.527160644748 16.46076202464775, 107.52666473518946 16.46248245290292, 107.52560424833746 16.462892532064757, 107.52622985902082 16.464876174795677, 107.52480316193646 16.46863174366007, 107.52603149465779 16.471282960340375, 107.5272445667834 16.472063063759435, 107.53060150215765 16.472295762439558, 107.53123474089062 16.474369049592042, 107.53264618007722 16.47465705837658, 107.53494262770016 16.477396012016413, 107.53933715858307 16.478017807775643, 107.53974914520694 16.480543137355937, 107.54224395719291 16.481815339006744))",Hương Long,60
Hương Sơ,0.0845917821106,0.000272544759962,"POLYGON ((107.56214141789218 16.48314666838411, 107.56152343795634 16.486259462104556, 107.55887603709948 16.486747741814895, 107.55246734589139 16.50489425666467, 107.55373382605529 16.507503510079005, 107.56093597291687 16.50828933678349, 107.5640640254345 16.50751876797682, 107.56299590963357 16.503992080170406, 107.56431579603719 16.50402641178954, 107.56572723342515 16.50262069588848, 107.56777954119292 16.50265312274348, 107.56800079420134 16.503810882066603, 107.5705642703249 16.5021991737529, 107.57057952822271 16.499897002844477, 107.5691528311383 16.498826981380148, 107.5694198614375 16.495677947679212, 107.5675048828441 16.495372771736072, 107.56778717014186 16.49249839908191, 107.57244109967706 16.493490218199042, 107.57304382261441 16.49294090330011, 107.56387329091967 16.486270905078243, 107.56347656219367 16.484043120693514, 107.56214141789218 16.48314666838411))",Hương Sơ,70
Kim Long,0.0688207641789,0.000209068121443,"POLYGON ((107.55130004925792 16.474060057825454, 107.55303192138615 16.4766197199242, 107.55493927013129 16.474199293562606, 107.55797576896663 16.476089477847154, 107.57054138078018 16.459566116083465, 107.55779266430005 16.454727174419588, 107.55493927013129 16.45898628179151, 107.55642700240429 16.459095000833656, 107.55720520105922 16.45992851319039, 107.55284881671957 16.466590881564002, 107.55307006703003 16.467803954588874, 107.55225372363049 16.469161988435076, 107.55362701267654 16.4708518981966, 107.55130004925792 16.474060057825454))",Kim Long,80
Phú Bình,0.0494778108645,5.1100459189e-05,"POLYGON ((107.57855987643723 16.49485588009486, 107.57838439892095 16.494070053390317, 107.58019256593423 16.491294860669313, 107.58131408617618 16.48925018364912, 107.57888793922706 16.487453459609526, 107.58201599084538 16.48322105400848, 107.58129119932943 16.48243141237981, 107.580383300449 16.482683182083235, 107.57483673172987 16.490442276390013, 107.5707702636368 16.48721504214052, 107.5702438346853 16.48788452085398, 107.56797790555595 16.48635292055087, 107.56765747081567 16.487010957189966, 107.57822418110112 16.49506759669231, 107.57855987643723 16.49485588009486))",Phú Bình,90
Phú Cát,0.0301644276605,4.46768657281e-05,"POLYGON ((107.58517456095728 16.47905922000706, 107.58645629901906 16.482975005791957, 107.5913925176506 16.481918335662726, 107.59152984682504 16.47181701734155, 107.5908126833587 16.471054076584437, 107.58963775597772 16.47353363067259, 107.58517456095728 16.47905922000706))",Phú Cát,100
