ward,geometry,wardName,population,male,female,nppTHPT,nppTertiary,nElderly
An Cựu,"POLYGON ((107.60153198300014 16.456869125000082, 107.60031890900012 16.456912994000106, 107.59654235900013 16.455518724, 107.59410095200019 16.456157684000118, 107.59368896500013 16.453670502000023, 107.59276580700009 16.453149795, 107.5919189450002 16.45008468700007, 107.5904693600001 16.44842147900016, 107.59134674100011 16.446763993000104, 107.59072875900011 16.443559646000097, 107.59240722600003 16.443454743000075, 107.59201049700016 16.440710068000044, 107.59475708100001 16.439842224000017, 107.60135650699999 16.440578461000086, 107.60770416200006 16.440050126000187, 107.60848998900013 16.441343307000125, 107.60588073700006 16.44416046200007, 107.60506439100004 16.44697761600014, 107.60781860300017 16.448776244999976, 107.60214233400012 16.452274322000164, 107.60356140100004 16.45603752100004, 107.60153198300014 16.456869125000082))",Phường An Cựu,24363,12007,12356,518,1037,2436
An Đông,"POLYGON ((107.60781860300017 16.448776244999976, 107.6106033330002 16.446969986000056, 107.61235809300007 16.449707031999992, 107.61339569100011 16.450220107999996, 107.61663818300019 16.44842147900016, 107.61785888600019 16.450405122000063, 107.61773681700015 16.451925278000033, 107.6210479730002 16.45382499700014, 107.61959075900006 16.46147537300004, 107.62395477400008 16.461038590000044, 107.62392425500013 16.45993042100008, 107.62707519500009 16.459693909000066, 107.62649536100008 16.46164512600012, 107.62893676700008 16.46146964999997, 107.62911987300015 16.46237182700014, 107.63055419800008 16.46283149700014, 107.62705230700016 16.46729278600003, 107.62686157200011 16.47023201100012, 107.62384796100002 16.470239639000056, 107.62377929800016 16.47227287400017, 107.61894226100003 16.473211288000186, 107.61586761500001 16.472568513, 107.61487579300001 16.470512391000057, 107.61280059900008 16.471296311000117, 107.6127243050002 16.470386506000068, 107.6118774410001 16.47034645100001, 107.61177825800013 16.466159820000087, 107.61365509100011 16.466186524000022, 107.61363983100006 16.463214875000062, 107.610671997 16.463220596999975, 107.61019134600014 16.4618186940001, 107.60824585000012 16.462465287000043, 107.60698699900013 16.46169471800016, 107.60614013700001 16.46281814600019, 107.60556030200013 16.46263122500011, 107.60263824500004 16.4594593060001, 107.60128784200009 16.459173203000148, 107.60153198300014 16.456869125000082, 107.60356140100004 16.45603752100004, 107.60214233400012 16.452274322000164, 107.60781860300017 16.448776244999976))",Phường An Đông,19105,9353,9752,802,859,2853
An Hòa,"POLYGON ((107.55130004900008 16.474060058000077, 107.55303192100018 16.476619720000087, 107.55493926999998 16.474199294000016, 107.55797576900017 16.47608947800012, 107.55626678500016 16.47899246200012, 107.56214141800012 16.48314666800013, 107.56152343800017 16.486259462000135, 107.55887603700006 16.486747742000034, 107.55246734600013 16.50489425699999, 107.55093383700017 16.50693512100014, 107.5482025140002 16.504356385000108, 107.54772949200014 16.502576829000134, 107.5487060550002 16.497671127000103, 107.5468978880001 16.496623993000128, 107.5477676390002 16.494499208000093, 107.54577636800019 16.493879319000087, 107.53996276800001 16.502656938000086, 107.53815460300007 16.499040603000083, 107.53527069100005 16.498855592000155, 107.53500366300011 16.49809074400008, 107.5355529790001 16.495742799000084, 107.53371429500004 16.49225235, 107.53436279300007 16.491744996000136, 107.53231048700007 16.489768982000044, 107.53296661300016 16.48868179300007, 107.53321838400012 16.489446641000143, 107.53885650600017 16.48970604100009, 107.53943634100006 16.488615037000045, 107.54125213600014 16.489082337000184, 107.54366302400013 16.48741531400003, 107.54311370800013 16.485773087000098, 107.54380798300014 16.483385087000045, 107.54224395700004 16.481815339000036, 107.54358673000002 16.480360031000032, 107.545143128 16.4812641150001, 107.54943084700011 16.474121093000065, 107.55038452100018 16.473484040000187, 107.55130004900008 16.474060058000077))",Phường An Hòa,11973,5866,6107,452,452,1658
An Tây,"POLYGON ((107.59072875900011 16.443559646000097, 107.58924102700013 16.443151474000103, 107.58837890700005 16.44184303300011, 107.58718109100005 16.439447403000145, 107.58399963400018 16.436880112999972, 107.5855102550002 16.43538665800014, 107.58915710500014 16.42337227000013, 107.58699798700019 16.42255020200014, 107.58816528400007 16.419931411000107, 107.58826446600006 16.417400359999988, 107.5867309570001 16.417240143000186, 107.58825683600014 16.410484314000087, 107.59068298199998 16.408891679000078, 107.59785461300015 16.40630340500013, 107.60856628500005 16.40571594300019, 107.6093368540001 16.404582977000075, 107.60942840600006 16.39912796100009, 107.61119842600016 16.398584366000136, 107.61381530800014 16.40468597400013, 107.6147995 16.40612411500001, 107.61618805000018 16.40612411500001, 107.6117095950001 16.410923003999983, 107.61146545400004 16.41385269200009, 107.60980224600007 16.418352127000162, 107.61073303199998 16.419740677000107, 107.6105804450001 16.42107582000017, 107.60880279600019 16.423788072000036, 107.60831451400009 16.42933845500005, 107.61223602199999 16.435132981000038, 107.61228179900019 16.436897279000164, 107.61020660400015 16.44337463500017, 107.61052703900009 16.444553374999998, 107.60937500000006 16.445943833000115, 107.6106033330002 16.446969986000056, 107.60781860300017 16.448776244999976, 107.60506439100004 16.44697761600014, 107.60588073700006 16.44416046200007, 107.60848998900013 16.441343307000125, 107.60770416200006 16.440050126000187, 107.60135650699999 16.440578461000086, 107.59475708100001 16.439842224000017, 107.59201049700016 16.440710068000044, 107.59240722600003 16.443454743000075, 107.59072875900011 16.443559646000097))",Phường An Tây,11887,5757,6130,485,243,792
Đúc,"POLYGON ((107.55380233959863 16.451570713020544, 107.55583190900006 16.448566438000114, 107.55737304600012 16.44866943300002, 107.56321716300005 16.45178604100016, 107.56311798100018 16.452701569000055, 107.5644073480002 16.453252793000047, 107.56728363100007 16.452859879000187, 107.57257843100012 16.455280305000088, 107.57302856500007 16.453401565000092, 107.57401275600006 16.45336723300005, 107.57436370800013 16.455835344000093, 107.57523345900006 16.452411651000034, 107.57727813700012 16.449319841000033, 107.57853698800011 16.45083618199999, 107.57929229800004 16.45437050000004, 107.58057403600009 16.455139161000147, 107.5803985600001 16.456842423000012, 107.57681274500015 16.458440781000093, 107.57651182474967 16.459520939606023, 107.57454209313647 16.459514493908046, 107.5722340790386 16.45892327604315, 107.56907523383222 16.45711923176316, 107.5655341085228 16.455742313437838, 107.56223379005502 16.454749665814177, 107.55851537328925 16.453410810652144, 107.55635787696718 16.45229709152204, 107.55380233959863 16.451570713020544))",Phường Phường Đúc,10370,5089,5281,494,494,864
Hương Long,"POLYGON ((107.54224395700004 16.481815339000036, 107.5397491450002 16.480543137000097, 107.53933715900007 16.478017808000175, 107.53494262800012 16.477396012000042, 107.5326461800002 16.474657058000105, 107.53123474100005 16.474369050000064, 107.53060150200014 16.4722957620001, 107.52724456700014 16.472063064000054, 107.5260314950001 16.471282960000167, 107.52480316200018 16.468631744000163, 107.52622985900018 16.46487617500003, 107.5270573275248 16.46354300480732, 107.52724849230128 16.463235010999256, 107.5271606450001 16.460762025000122, 107.52989959700005 16.459323882000092, 107.53568267800011 16.45939827100011, 107.53755188000002 16.457157136000035, 107.53651428200016 16.455104827000127, 107.53514862000014 16.45515823400001, 107.53479003800015 16.454238891999978, 107.53356170600011 16.454559326000037, 107.53240966900012 16.453786850000085, 107.53359985300017 16.451910020000014, 107.54234314000018 16.454893112000093, 107.54348754800014 16.454805375000035, 107.54363057469072 16.453337106130903, 107.54425003979571 16.452382097427517, 107.54502412143756 16.451926894575024, 107.54732433982878 16.45186468574957, 107.5493023627364 16.452650470881792, 107.55266665357289 16.45381627402594, 107.55670860006626 16.45625002571643, 107.55493926999998 16.458986282000012, 107.55642700200019 16.459095001000037, 107.55720520100016 16.45992851300008, 107.55284881700015 16.466590882000048, 107.55307006700014 16.467803954999965, 107.5522537240002 16.469161988000167, 107.55362701300004 16.470851898000035, 107.55130004900008 16.474060058000077, 107.55038452100018 16.473484040000187, 107.54943084700011 16.474121093000065, 107.545143128 16.4812641150001, 107.54358673000002 16.480360031000032, 107.54224395700004 16.481815339000036))",Phường Hương Long,13122,6396,6726,673,34,3350
Hương Sơ,"POLYGON ((107.56214141800012 16.48314666800013, 107.56347656200012 16.484043121000127, 107.56387329100016 16.486270905000083, 107.57304382300009 16.492940903000033, 107.57244110000005 16.493490218000147, 107.56778717000009 16.492498399000056, 107.56750488300008 16.49537277200011, 107.56941986100009 16.49567794800015, 107.56915283100017 16.49882698099998, 107.570579528 16.499897003000058, 107.57056426999998 16.502199174000054, 107.56800079400017 16.503810882000153, 107.56777954100005 16.502653123000016, 107.56572723300008 16.502620696000122, 107.56431579600007 16.50402641200003, 107.5629959100001 16.503992080000046, 107.5640640250001 16.507518768000182, 107.56093597300014 16.508289337000065, 107.5537338260001 16.507503510000163, 107.55246734600013 16.50489425699999, 107.55887603700006 16.486747742000034, 107.56152343800017 16.486259462000135, 107.56214141800012 16.48314666800013))",Phường Hương Sơ,12990,6365,6625,545,584,1940
Kim Long,"POLYGON ((107.55130004900008 16.474060058000077, 107.55362701300004 16.470851898000035, 107.5522537240002 16.469161988000167, 107.55307006700014 16.467803954999965, 107.55284881700015 16.466590882000048, 107.55720520100016 16.45992851300008, 107.55642700200019 16.459095001000037, 107.55493926999998 16.458986282000012, 107.55670860006626 16.45625002571643, 107.56961218334266 16.460727613071924, 107.55797576900017 16.47608947800012, 107.55493926999998 16.474199294000016, 107.55303192100018 16.476619720000087, 107.55130004900008 16.474060058000077))",Phường Kim Long,16850,8294,8556,707,758,2516
Phú Hậu,"POLYGON ((107.58019256600011 16.491294861000085, 107.58263397200017 16.489650726000036, 107.59181114526359 16.48843383899998, 107.59207718252691 16.490238260473404, 107.5919556989711 16.492615989367323, 107.59149947740178 16.494745651585674, 107.59033727263488 16.496370313163368, 107.58925673620439 16.497183913665026, 107.58841640936873 16.49794975860374, 107.58683400661909 16.497914480283782, 107.58577944008186 16.496773808064347, 107.58409395864464 16.495411714171382, 107.58259547265527 16.494581057712367, 107.5816397158527 16.49430090272284, 107.58016193934213 16.49431402843527, 107.57890498350542 16.49433390759316, 107.5784858705689 16.494528141661988, 107.57838439900019 16.49407005300003, 107.58019256600011 16.491294861000085))",Phường Phú Hậu,12370,6094,6276,519,556,1847
Phú Hội,"POLYGON ((107.59203628274594 16.470222577383254, 107.58976113533629 16.4680800339803, 107.59936523400017 16.45935440100004, 107.6001434330002 16.464700699000048, 107.59883880700005 16.468587876000072, 107.59987640300011 16.471441270000128, 107.59570312500011 16.47362327500008, 107.59431591433219 16.472766514081002, 107.59312654133089 16.471411950384947, 107.59203628274594 16.470222577383254))",Phường Phú Hội,9446,4674,4772,397,425,1411
